0,mi1,1616758560.429261,1616758560.429261
1,fa1,1616758560.442782,1616758560.588114
3,mi1,1616758560.6080098,1616758560.7182539
4,sol_n1,1616758560.6277714,1616758560.7182539
2,sol1,1616758560.4579785,1616758560.967957
5,fa1,1616758560.738109,1616758561.0081804
6,mi1,1616758560.9930246,1616758561.1280668
8,sol1,1616758561.163013,1616758561.2128778
7,fa1,1616758561.1479268,1616758561.2780256
9,mi1,1616758561.2780256,1616758561.373234
11,fa1,1616758561.4532888,1616758561.5279863
10,sol1,1616758561.373234,1616758561.5381835
12,mi1,1616758561.553231,1616758561.657855
14,sol1,1616758561.657855,1616758561.7879312
15,fa1,1616758561.7083263,1616758561.7879312
18,mi1,1616758561.8080277,1616758561.9390209
16,do2,1616758561.7782872,1616758561.9779031
17,re2,1616758561.7879312,1616758561.9779031
19,sol1,1616758561.9390209,1616758562.0079515
20,fa1,1616758561.952968,1616758562.0479617
13,mi2,1616758561.6482265,1616758562.1982446
21,mi1,1616758562.0630434,1616758562.1982446
22,do2,1616758562.1429183,1616758562.3281837
23,do_n2,1616758562.1781268,1616758562.3281837
24,re2,1616758562.1982446,1616758562.3381822
25,la_n1,1616758562.21827,1616758562.3682222
26,sol_n1,1616758562.3482795,1616758562.4782987
27,do_n2,1616758562.528305,1616758562.607944
28,do2,1616758562.5582232,1616758562.6480541
29,la_n1,1616758562.5780199,1616758562.6578584
30,re2,1616758562.5881238,1616758562.6681454
31,sol_n1,1616758562.643007,1616758562.7980413
32,mi2,1616758562.739528,1616758562.8478785
34,la_n1,1616758562.808217,1616758562.8478785
33,do_n2,1616758562.7532117,1616758562.8478785
