note,startTime,endTime
fa1,1616928847.9075682,1616928848.4827754
fa1,1616928848.6386158,1616928848.8099394
fa1,1616928848.9383569,1616928849.0774646
fa1,1616928849.233395,1616928849.4541788
sol1,1616928849.462148,1616928849.739964
la1,1616928849.7190082,1616928850.259348
sol1,1616928850.097726,1616928850.5218263
fa1,1616928850.470966,1616928850.6148317
la1,1616928850.643698,1616928850.9127827
sol1,1616928850.9187782,1616928850.942272
sol1,1616928851.0629907,1616928851.135416
fa1,1616928851.2959108,1616928851.5951838
